# Codeium-Parse Reference Coverage Inventory
#
# Tracks codeium-parse query files and golden output parity for extractor enhancement (P7).
# Format: language\ttab\tkind\tstatus\tcrystal_components\tnotes
#
# Status values: ported, partial, missing, intentional_divergence, not_applicable

# ==============================================================================
# Query Files (per language, per query .scm file)
# ==============================================================================

bash	bash_tags.scm	definition.function	ported	src/chiasmus/discovery/extractors/bash_extractor.cr	function definitions
c	c_tags.scm	definition.function	ported	src/chiasmus/discovery/extractors/c_extractor.cr	function definitions
c	c_tags.scm	definition.import	ported	src/chiasmus/discovery/extractors/c_extractor.cr	preproc_include via predicate_queries
c	c_class_fields.scm	class_fields	ported	src/chiasmus/discovery/extractors/c_extractor.cr	struct_specifier fields (shared with cpp query)
cpp	cpp_tags.scm	definition.class	ported	src/chiasmus/discovery/extractors/cpp_extractor.cr	class_specifier + struct_specifier
cpp	cpp_tags.scm	definition.function	ported	src/chiasmus/discovery/extractors/cpp_extractor.cr	function_definition
cpp	cpp_tags.scm	definition.namespace	ported	src/chiasmus/discovery/extractors/cpp_extractor.cr	namespace_definition via predicate_queries
cpp	cpp_class_fields.scm	class_fields	ported	src/chiasmus/discovery/extractors/cpp_extractor.cr	field_declaration_list captures
csharp	csharp_tags.scm	definition.namespace	ported	src/chiasmus/discovery/extractors/csharp_extractor.cr	file_scoped + namespace_declaration
csharp	csharp_tags.scm	definition.class	ported	src/chiasmus/discovery/extractors/csharp_extractor.cr	struct/record via predicate_queries
csharp	csharp_tags.scm	definition.enum	ported	src/chiasmus/discovery/extractors/csharp_extractor.cr	enum_declaration via predicate_queries
csharp	csharp_tags.scm	definition.interface	ported	src/chiasmus/discovery/extractors/csharp_extractor.cr	interface in base queries
csharp	csharp_tags.scm	definition.method	ported	src/chiasmus/discovery/extractors/csharp_extractor.cr	method in base queries
csharp	csharp_tags.scm	definition.constructor	ported	src/chiasmus/discovery/extractors/csharp_extractor.cr	constructor via predicate_queries
csharp	csharp_tags.scm	definition.destructor	ported	src/chiasmus/discovery/extractors/csharp_extractor.cr	destructor via predicate_queries
dart	dart_tags.scm	definition.class	ported	src/chiasmus/discovery/extractors/dart_extractor.cr	class_definition + mixin
dart	dart_tags.scm	definition.function	ported	src/chiasmus/discovery/extractors/dart_extractor.cr	function_signature
go	go_tags.scm	definition.class	ported	src/chiasmus/discovery/extractors/go_extractor.cr	already in base queries
go	go_tags.scm	definition.interface	ported	src/chiasmus/discovery/extractors/go_extractor.cr	already in base queries
go	go_tags.scm	definition.function	ported	src/chiasmus/discovery/extractors/go_extractor.cr	base + enriched with doc/params/return_type
go	go_tags.scm	definition.method	ported	src/chiasmus/discovery/extractors/go_extractor.cr	base + enriched with doc/params/return_type
go	go_tags.scm	definition.type	ported	src/chiasmus/discovery/extractors/go_extractor.cr	type aliases via predicate_queries
go	go_tags.scm	definition.package	ported	src/chiasmus/discovery/extractors/go_extractor.cr	package via predicate_queries
go	go_tags.scm	reference.call	ported	src/chiasmus/discovery/extractors/go_extractor.cr	call references via predicate_queries
go	go_tags.scm	reference.class	ported	src/chiasmus/discovery/extractors/go_extractor.cr	composite literal refs via predicate_queries
go	go_class_fields.scm	class_fields	ported	src/chiasmus/discovery/extractors/go_extractor.cr	field_declaration name capture
html	html_injections.scm	injection	intentional_divergence	—	injection-only
java	java_tags.scm	definition.class	ported	src/chiasmus/discovery/extractors/java_extractor.cr	already in base queries
java	java_tags.scm	definition.interface	ported	src/chiasmus/discovery/extractors/java_extractor.cr	already in base queries
java	java_tags.scm	definition.method	ported	src/chiasmus/discovery/extractors/java_extractor.cr	base + enriched with doc/params
java	java_tags.scm	definition.package	ported	src/chiasmus/discovery/extractors/java_extractor.cr	package via predicate_queries
java	java_tags.scm	definition.constructor	ported	src/chiasmus/discovery/extractors/java_extractor.cr	constructor via predicate_queries
java	java_class_fields.scm	class_fields	ported	src/chiasmus/discovery/extractors/java_extractor.cr	field_declaration + record formal_parameter
javascript	javascript_tags.scm	definition.class	ported	src/chiasmus/discovery/extractors/javascript_extractor.cr	already in base queries
javascript	javascript_tags.scm	definition.function	ported	src/chiasmus/discovery/extractors/javascript_extractor.cr	already in base queries
javascript	javascript_tags.scm	definition.method	ported	src/chiasmus/discovery/extractors/javascript_extractor.cr	already in base queries
