# source_id	kind	scope	file	name	feature	file_sha256	item_sha256	start_line	end_line	extraction
benchmark/chiasmus/p1-rbac.ts::interface::ConflictResult	interface	source	benchmark/chiasmus/p1-rbac.ts	ConflictResult	benchmark	a5502d049170146434ee7372b6cec427ab7f9c11196ea77ec25897e20b8902d4	6380da33886bebec488c1322e59f513db2f4efc74e200cf1ae879cf4b496b6cc	10	13	block
benchmark/chiasmus/p1-rbac.ts::interface::Rule	interface	source	benchmark/chiasmus/p1-rbac.ts	Rule	benchmark	a5502d049170146434ee7372b6cec427ab7f9c11196ea77ec25897e20b8902d4	d8ad9fe326827057ddf3fb2b1179f57f1d3cdf6df4def9f0960a00e5365f0e6a	3	8	block
benchmark/chiasmus/p2-deps.ts::interface::DependencyResult	interface	source	benchmark/chiasmus/p2-deps.ts	DependencyResult	benchmark	dd5bc538b9e9064b9a9d1678508827152b29248b6e4abf08faf3288df7c158d7	abe9c13fa94463f35610093fd651d85ecfa5b15a2ecca386db4482aa241ae3fd	3	6	block
benchmark/chiasmus/p3-taint.ts::interface::TaintResult	interface	source	benchmark/chiasmus/p3-taint.ts	TaintResult	benchmark	5957725cfb67ad7460fce2822dde46e8f06dc1491be1eac45ad4afe0e42a7823	21a1ef65b162c2484af035720633109c50fa4f62a539389bd87bab9ce98ccf17	3	6	block
benchmark/chiasmus/p4-workflow.ts::interface::WorkflowResult	interface	source	benchmark/chiasmus/p4-workflow.ts	WorkflowResult	benchmark	b67eb39c45e100c15258d0775295a3ea58027d63dad7da14b5713d3a8c2a0227	dab728d10d876dcb71b0d5d6c310fe03788215559ed6df0db64cde85cd72ffba	3	6	block
benchmark/chiasmus/p5-validation.ts::function::buildGapCheck	function	source	benchmark/chiasmus/p5-validation.ts	buildGapCheck	benchmark	bf33ede9edff2efd8bac5b4bd37514ff72fc089964b87eebdd16d09fe2e02c90	cb6f71f015eafb36fffafe9b972ea1eeb654ccf27d408538d1f813f17e9fb487	44	46	block
benchmark/chiasmus/p5-validation.ts::interface::ValidationGapResult	interface	source	benchmark/chiasmus/p5-validation.ts	ValidationGapResult	benchmark	bf33ede9edff2efd8bac5b4bd37514ff72fc089964b87eebdd16d09fe2e02c90	c3df2926b0a0ed95e53a5944c05397cb7c7efbc1420d329d29838ac4eb6629b0	3	9	block
benchmark/tests/p1-rbac.test.ts::test::Problem 1: RBAC Policy Conflict Detection	test	test	benchmark/tests/p1-rbac.test.ts	Problem 1: RBAC Policy Conflict Detection	benchmark	034e331031e619c2d6ce8488a6505a02b6be8f177239a1cfce4a63612c8e73ac	a45d2b187bce5c09f6668d6ae3ce24e5dcb84df3996ec3a14a8a4ec745c2751e	33	36	block
benchmark/tests/p1-rbac.test.ts::test::detects the auditor read/billing conflict	test	test	benchmark/tests/p1-rbac.test.ts	detects the auditor read/billing conflict	benchmark	034e331031e619c2d6ce8488a6505a02b6be8f177239a1cfce4a63612c8e73ac	b1032b0d3d6a69735295c04debf7f3d0ecd7b8ec73b256b22d271e63ec373176	13	16	block
benchmark/tests/p1-rbac.test.ts::test::finds exactly one conflict in this ruleset	test	test	benchmark/tests/p1-rbac.test.ts	finds exactly one conflict in this ruleset	benchmark	034e331031e619c2d6ce8488a6505a02b6be8f177239a1cfce4a63612c8e73ac	7701740a564e34e1f07aff75e8b54464c5ba96fd457b2c93c86eb5a404f15cfc	26	29	block
